complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
7970275,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,Experian Information Solutions Inc.,Web,PA,Yes,N/A,escalation_language,complaint,This is XXXX XXXX do not deny my complaint by stating that I filed this by some other means than myself.This is done 100 % by me.,This is XXXX XXXX do not deny my complaint by stating that I filed this by some other means than myself.This is done 100 % by me. The stuff on my credit report is wrong and Under 15 U.S. Code 1681b Permissible purposes of consumer reports I never gave any written consent to report anything on my consumer reports no consent is fraud.,334
3065878,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,SYNCHRONY FINANCIAL,Web,SC,Yes,N/A,escalation_language,complaint,I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them.,"On XX/XX/2018 XXXX XXXX and XXXX XXXX were sent letters of validation via certified mail. The return receipts show XXXX XXXX 's letter was received by XX/XX/2018 and XXXX XXXX letter was received by XX/XX/2018. I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them. Well pass the 30 days allotted by federal law to respond to a debt validation letter. XXXX XXXX sent a letter dated XX/XX/2018 but the post mark date reflects it being in the post office 's possession XX/XX/2018, per the corrected post mark date made by the postal service. In the envelope sent by XXXX XXXX they were requesting additional information 29 days after receiving the VOD letter and waited almost a week to send the letter off, which also shows lack of priority and willingness to follow federal law which states the company has 30 days ",1086
8235233,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,escalation_language,CFPB,"Urgent : Disputed Inquiries on Credit Report - Request for Validation Dear TransUnion and Consumer Financial Protection Bureau ( CFPB ), I am writing to express my dissatisfaction with the handling of my recent credit file dispute by TransUnion and to bring to your attention unauthorized inquiries on my credit report.","Urgent : Disputed Inquiries on Credit Report - Request for Validation Dear TransUnion and Consumer Financial Protection Bureau ( CFPB ), I am writing to express my dissatisfaction with the handling of my recent credit file dispute by TransUnion and to bring to your attention unauthorized inquiries on my credit report. 

I have recently submitted a dispute regarding inquiries on my credit file with TransUnion. The inquiries in question, listed below, were not authorized by me : XXXX XXXX XXXX XXXX XXXX XXXX - Inquiry Type : XXXX - XXXX Info : XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXXXXXX - Contact : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  - Inquiry Type : XXXX - XXXX Info : XXXX XXXX XXXX XXXX XXXX XXXX - Contact : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX - Inquiry Type : XXXX XXXX XXXX Info : XXXX XXXX XXXX XXXX XXXX XXXX XXXX - Contact : XXXX XXXX XXXX XXXX XX",2153
8018745,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,FL,Yes,N/A,escalation_language,CFPB,I am writing to address a matter that has been pending since my initial contact via mail and subsequent complaints filed with the CFPB.,"I am writing to address a matter that has been pending since my initial contact via mail and subsequent complaints filed with the CFPB. Regrettably, despite the passage of several months, I have yet to receive the anticipated resolution from your department regarding the misleading and inaccurate entry on my credit report.",324
3486993,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,"Block, Inc.",Web,FL,Yes,N/A,escalation_language,complaint,I am putting in a complaint.,"According to Federal Law, XXXX is legal. I opened an online business. I used Square as my vehicle of payment. After 2 sales totaling {$950.00}, they deactivated my account saying it was a high risk business. I understand, XXXX is still misunderstood, but it helps millions of people deal with pain & anxiety. So I am passionate about helping people feel better. If Square doesn't understand that it is legal, that it is NOT trying to hurt the public ( quite the opposite ) & they consider it high risk, fine. But don't keep my money for 3 months with NO resolve ability. It is impossible to reach them. OH yes, sales you get a human. Anything involving a deactivated account, they tell you to look at the first email. I called their numbers ( 3 of them ) on 5 different occasions over the past 2 months, all lead you to nowhere but frustration. That email tells you to go to their help online. Help o",1690
8226922,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,Web,GA,Yes,N/A,escalation_language,escalate,"I understand that resolving such matters may take time, but the prolonged nature of this issue has led me to escalate the situation formally.","I trust this letter finds you well. I am writing to bring to your attention a matter of extreme concern and frustration regarding the persistent issues I have faced in correcting a late open account and the associated late closed and charge-off status on my financial records.

Despite my repeated attempts to address and rectify these issues over the past several months, the challenges persist, negatively impacting my creditworthiness and causing significant stress. I am seeking your immediate attention and resolution to this matter.

Here is a summary of the steps I have taken to address these issues : Despite my continued efforts, the late open account has not been corrected, and the associated late closed and charge-off status remains on my records.

I understand that resolving such matters may take time, but the prolonged nature of this issue has led me to escalate the situation forma",2776
3358661,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"MARINER FINANCE, LLC",Web,MS,Yes,N/A,escalation_language,manager,"After I explained again, XXXX told me that her manager, XXXX, was out of the office but would return my call the following day.","On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Marine",2342
3063440,"Payday loan, title loan, or personal loan",Payday loan,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Ad Astra Recovery Services Inc,Web,TX,Yes,N/A,escalation_language,filed a complaint,"On XX/XX/18, I filed a complaint with Consumer Finance Protection Bureau ; XXXX ( complaint number ), regarding "" Ad Astra Recovery Service '', falsifying information on my credit report that they never "" Validated '' as belonging to me.","On XX/XX/18, I filed a complaint with Consumer Finance Protection Bureau ; XXXX ( complaint number ), regarding "" Ad Astra Recovery Service '', falsifying information on my credit report that they never "" Validated '' as belonging to me. In their response to the Consumer Finance Protection Bureau, on XX/XX/18 ; Ad Astra Recovery Service, stated they requested to the bureaus to delete from my credit report. They  never deleted this account from my XXXX credit report. This continue to be a "" Fraudulent '' company. I have attached the XXXX  report showing they are telling XXXX to keep this false information on my credit report illegally, according to the "" Fair Debt Collections Practices Act ''. I am requesting to have this information forwarded to "" the Attorney General 's Office, and to forward to Federal Trade Commission immediately.",845
3196547,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,U.S. BANCORP,Web,KY,Yes,N/A,escalation_language,complaint,This complaint is for XXXX  and XXXX XXXX signs.,"I was incarcerated for almost 10 years. I was released XXXX. All my information was stolen and accounts have been opened and debts accumulated beyond belief! This is a very frustrating process. This complaint is for XXXX  and XXXX XXXX signs. They have listed multiple accounts as well as bad checks. US Bank, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX and a bad check to XXXX.",371
3402897,Debt collection,Other debt,Communication tactics,"You told them to stop contacting you, but they keep trying","Diversified Adjustment Service, Inc.",Web,NY,Yes,N/A,escalation_language,complaint,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over.,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over. I advised them I am disputing the debt and they will not allow me to do so. Now they constantly call my phone to harass me. I have told them 4xs now to stop calling my phone and they will not. This is harassment and I want it to stop. I just called XXXX XXXX today and advised XXXX the third party they sent information to is harassing me and I want it to stop as I have been making monthly payments to XXXX XXXX for a past due balance. XXXX XXXX  gets $ XXXX as we originally agreed to before they placed my account in collections and I am now being harassed and it is against the FDCPA to continue to call and harass a consumer after they are told to stop and after I advised them I am dispu,1163
