complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
8113747,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,IL,Yes,N/A,unauthorized_transaction,not mine,I assert that this account is not mine and believe it to be fraudulent.,Kindly address this issue on my credit report. I assert that this account is not mine and believe it to be fraudulent. I urge you to correct this mistake and have provided supporting documents for verification.,210
3569824,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,AR,Yes,N/A,unauthorized_transaction,not mine,After doing so I notice a couple of items on my report that are not mine.,"I was recently going to check out a new car at XXXX. After carefully consideration I decided to apply for a loan for this car. Moments later I was decline for a lower interest rate and approved for an extremely high interest rate. Which promoted me to check my credit report. After doing so I notice a couple of items on my report that are not mine. These items need to be deleted from my credit report. 

XXXX XXXX XXXX {$140.00} XXXX  XXXX {$450.00} XXXX XXXX XXXX {$7800.00} XXXX   XXXX  XXXX {$370.00} XXXX XXXX {$10000.00}",527
8235233,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,unauthorized_transaction,unauthorized,"Urgent : Disputed Inquiries on Credit Report - Request for Validation Dear TransUnion and Consumer Financial Protection Bureau ( CFPB ), I am writing to express my dissatisfaction with the handling of my recent credit file dispute by TransUnion and to bring to your attention unauthorized inquiries on my credit report.","Urgent : Disputed Inquiries on Credit Report - Request for Validation Dear TransUnion and Consumer Financial Protection Bureau ( CFPB ), I am writing to express my dissatisfaction with the handling of my recent credit file dispute by TransUnion and to bring to your attention unauthorized inquiries on my credit report. 

I have recently submitted a dispute regarding inquiries on my credit file with TransUnion. The inquiries in question, listed below, were not authorized by me : XXXX XXXX XXXX XXXX XXXX XXXX - Inquiry Type : XXXX - XXXX Info : XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXXXXXX - Contact : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  - Inquiry Type : XXXX - XXXX Info : XXXX XXXX XXXX XXXX XXXX XXXX - Contact : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX - Inquiry Type : XXXX XXXX XXXX Info : XXXX XXXX XXXX XXXX XXXX XXXX XXXX - Contact : XXXX XXXX XXXX XXXX XX",2153
8873634,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,CAPITAL ONE FINANCIAL CORPORATION,Web,MA,Yes,N/A,unauthorized_transaction,unauthorized,"On or about XX/XX/XXXX, I noticed there were at least 13 unauthorized charges on my checking account.","On or about XX/XX/XXXX, I noticed there were at least 13 unauthorized charges on my checking account. These charges were made once per month dating back to at least XXXX of XXXX in the amount of {$29.00} each. The name of the vendor changed each month so it was difficult to detect and I did not recognize any of them. I then called Capital One to initiate a dispute. Capital One then gave me a provisional credit for each charge including interest. However on XX/XX/XXXX without my knowledge or consent, Capital One reversed 3 of those credits for the fraudulent charges for the amount of {$29.00} each, totaling {$89.00}. I did not not receive any explanation as to why these credits were reversed. These charges were fraudulent and not authorized by me so Capital One should refund the money. It is very concerning to have your money stolen not only by thieves but also by the bank itself. The cha",1082
3336090,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,CA,Yes,N/A,unauthorized_transaction,unauthorized,"The following companies ran unauthorized credit report on me..At no time did I give them permission to inquiry about my credit status, such inquiries made were for no legitimate business purpose.","The following companies ran unauthorized credit report on me..At no time did I give them permission to inquiry about my credit status, such inquiries made were for no legitimate business purpose. This is a violation of the Fair Credit Reporting Act and a serious breach of my privacy rights.. please delete this misleading information XXXX  XXXX, XXXX XXXX",356
3235193,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,AMERICAN EXPRESS COMPANY,Web,OK,Yes,N/A,unauthorized_transaction,did not authorize,I have disputed the charge three times to American Express has denied my dispute even though I did not authorize this charge.,I closed my XXXX XXXX account in XXXX of XXXX. I received my federal income taxes around XX/XX/XXXX to my prepaid American Express. I was charged {XXXX} on XX/XX/XXXX to my prepaid American Express. I have disputed the charge three times to American Express has denied my dispute even though I did not authorize this charge. I requested a debt validation notice from XXXX XXXX in XXXX of XXXX. I did not receive any validation information as XXXX XXXX was collecting on behalf of XXXX. I spoke with a supervisor named XXXX whom advised that XXXX sent a letter advising i could dispute the charge and XXXX would not attempt to recollect but would not give a direct company refund for the charge. I requested a copy of the letter per my FDCPA and consumer rights and was advised XXXX could not resend the letter. American Express has no right to pay a charge I am disputing from my prepaid American Exp,1059
3412181,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,FL,Yes,N/A,unauthorized_transaction,not mine,Remove all inquiries which are not mine ( a ) Block.,"Remove all inquiries which are not mine ( a ) Block. Except as otherwise provided in this section, a consumer reporting agency shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from an alleged identity theft, not later than 4 business days after the date of receipt by such agency of ( 1 ) appropriate proof of the identity of the consumer ; ( 2 ) a copy of an identity theft report ; ( 3 ) the identification of such information by the consumer ; and ( 4 ) a statement by the consumer that the information is not information relating to any transaction by the consumer. ( b ) Notification. A consumer reporting agency shall promptly notify the furnisher of information identified by the consumer under subsection ( a ) of this section ( 1 ) that the information may be a result of identity theft ; ( 2 ) that an identity",4786
3279578,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,Web,NY,Yes,N/A,unauthorized_transaction,Unauthorized,Unauthorized and unverified accounts appear on my credit report,Unauthorized and unverified accounts appear on my credit report,63
3728230,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,FL,Yes,N/A,unauthorized_transaction,did not Authorize,To whom it may concern ; I check my credit and notice some fraud accounts on my credit that I did not Authorize.,"To whom it may concern ; I check my credit and notice some fraud accounts on my credit that I did not Authorize. I have no Knowledge or have I open any of these Accounts This is fraud, and I want to put a fraud Alert on my credit so that this will not happen again.",265
3635948,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,AR,Yes,N/A,unauthorized_transaction,not mine,"For years my name, birthday, and social security number was used to open accounts that are not mine.","My bank called me to inform me that there was a unknown charge on my account. They wanted to verify if it was mine and they were correct it did not belong to me. Later that same day I received a call from one of my credit card providers stating the same thing. I immediately knew my identity had been stolen, I got nine and made an account with XXXX XXXX  and got a copy of my report. For years my name, birthday, and social security number was used to open accounts that are not mine. Please remove these items from my report. 

XXXX XXXX XXXX XXXX XXXX {$17000.00} XXXX  XXXX XXXX {$5100.00} BANKRUPTCY CHAPTER XXXX XXXX {$0.00}",630
8227454,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,PA,Yes,N/A,unauthorized_transaction,did not authorize,"Nevertheless, I did not authorize these inquiries.","I have recently examined a copy of my credit report, which indicated that the credit inquiries listed below were the source of the credit inquiry. Nevertheless, I did not authorize these inquiries. Kindly investigate my claim in accordance with the Fair Credit Reporting Act.I request that you eliminate these inquiries from my credit report as they impede my ability to apply for loans and obtain credit. If you have any additional materials pertaining to this inquiry, please provide them. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",732
8275169,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,TX,Yes,N/A,unauthorized_transaction,unauthorized,"To whom it may concern, I have recently discovered that there is unauthorized information in my name being used on my credit reports and would like to file a dispute.","To whom it may concern, I have recently discovered that there is unauthorized information in my name being used on my credit reports and would like to file a dispute. This information is unauthorized and I did not approve it to reflect on my credit reports. I believe I may be a victim of identity theft. I have a security lock on my credit report and I was not alerted to this information being authorized on my reports and I am insisting that they be deleted from my credit report as soon as possible. These items are fraudulent and impacting my relationships with creditors. I have reported the theft of my identity to the Federal Trade Commission, please review the enclosed copies of the Federal Trade Commissions Identity Theft Affidavit in regard to this incident. In addition, I have attached a PDF document reflecting all items that were found to be unauthorized by any such. Please investig",1505
8075937,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,FL,Yes,N/A,unauthorized_transaction,unauthorized,"I discovered unauthorized inquiries on my credit report, which I just obtained in copy form.","I discovered unauthorized inquiries on my credit report, which I just obtained in copy form. My chances of obtaining new credit have been harmed by this. I request that you take the following inquiries down right away. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",415
8282281,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,SLM CORPORATION,Web,NY,Yes,N/A,unauthorized_transaction,Unauthorized,Unauthorized credit inquires on my credit report i have no knowledge of.,"Unauthorized credit inquires on my credit report i have no knowledge of. 
XXXX XXXX ( Finance ) XX/XX/XXXX XXXX XXXX ( Finance ) XX/XX/XXXX SALLIE MAE BANK ( Bank ) XX/XX/XXXX SALLIE MAE BANK ( Bank ) XX/XX/XXXX XXXX",216
3452594,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,OH,Yes,N/A,unauthorized_transaction,not mine,The Name on that fraudulent account is not mine and has never been mine.,I started a fraud dispute on XX/XX/XXXX for fraud against Florida Department of revenue. Somehow it appeared as XX/XX/XXXX. Now the Florida Department of revenue did not provide facts and continued the fraud and changed the dates and money amounts of the fraud from XX/XX/XXXX {$52000.00} to XX/XX/XXXX {$35000.00}. The Name on that fraudulent account is not mine and has never been mine. I looked up the case file and neither party named is factual there is no such person as XXXX XXXX XXXX the plantiff obligoee nor the person they claim to be me XXXX XXXX XXXX XXXX defendant obligor. So there is no way that this should be allowed and it is blatant fraud. My Name is XXXX XXXX XXXX it has never be changed to any other name. I did not know of this debt they forcefully took payments from my checks. I did not pay them they stole money from me with the fraud.,862
7977630,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",Web,TX,Yes,N/A,unauthorized_transaction,NOT MINE,"The FOLLOWING accounts allegations are either UNTRUE, XXXX, INCORRECT, INCOMPLETE, UNTIMELY, NOT MINE, NOT MY RESPONSIBILITY, or otherwise NOT PROVEN COMPLIANT to reg|ulatory federal reporting laws and or standards and MUST be removed immediately The infractions are as follows : LOWBOX and XXXX is reported as having a late payment my credit report : XXXX has XXXX and XXXX of XXXX paid but then XXXX has XXXX and 60 days late.","XXXX Equifax XXXX I recently reviewed my credit profile and noticed inaccuracies and/or incomplete information, and accounts that are Un-Verified.

According to the Fair Credit Reporting Act, Section 611 ( 5 ) ( A ) of the FCRA- you are required to promptly DELETE all information that is inaccurate, incomplete, or which can not be verified.

It is also my understanding that Under the FCRA 15 U.S.C. 1681i, every single one even each any or all of the unproven, non-compliant, incomplete, untrue, incorrect, and or unverified aspects of any alleged derogatory accounts must be promptly negated to be completely deleted. 
The FOLLOWING accounts allegations are either UNTRUE, XXXX, INCORRECT, INCOMPLETE, UNTIMELY, NOT MINE, NOT MY RESPONSIBILITY, or otherwise NOT PROVEN COMPLIANT to reg|ulatory federal reporting laws and or standards and MUST be removed immediately The infractions are as follows",1508
8179591,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",Web,PA,Yes,N/A,unauthorized_transaction,not mine,This information includes the addresses that are not mine.,"While reviewing a copy of my credit report ( XXXX ) I discovered some inaccuracies in my personal information. This information includes the addresses that are not mine. I have never lived at the listed addresses and request that you delete this information from my credit report. 
I am also placing a FTC reference number- # XXXX so that you can verify the inaccuracy of fraud that is placed on my credit report.",413
