complaint_id,product,sub_product,issue,sub_issue,company,channel,state,timely_response,consumer_disputed,reason_code,matched_phrase,sentence_snippet,narrative_preview,narrative_length
3414709,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Old information reappears or never goes away,Experian Information Solutions Inc.,Web,HI,Yes,N/A,financial_harm,debt,XXXX XXXX has a old account settled in XXXX that keeps reappearing on my experian credit report and it now states its a debt from XXXX settled and XXXX balance.,XXXX XXXX has a old account settled in XXXX that keeps reappearing on my experian credit report and it now states its a debt from XXXX settled and XXXX balance. Its a total lie and incorrect. It was from XXXX settled way back then. It needs to be removed. Please make them remove it. Its effecting my score.,307
3065878,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,SYNCHRONY FINANCIAL,Web,SC,Yes,N/A,financial_harm,debt,Well pass the 30 days allotted by federal law to respond to a debt validation letter.,"On XX/XX/2018 XXXX XXXX and XXXX XXXX were sent letters of validation via certified mail. The return receipts show XXXX XXXX 's letter was received by XX/XX/2018 and XXXX XXXX letter was received by XX/XX/2018. I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them. Well pass the 30 days allotted by federal law to respond to a debt validation letter. XXXX XXXX sent a letter dated XX/XX/2018 but the post mark date reflects it being in the post office 's possession XX/XX/2018, per the corrected post mark date made by the postal service. In the envelope sent by XXXX XXXX they were requesting additional information 29 days after receiving the VOD letter and waited almost a week to send the letter off, which also shows lack of priority and willingness to follow federal law which states the company has 30 days ",1086
8070648,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,Resurgent Capital Services L.P.,Web,KY,Yes,N/A,financial_harm,debt,*I had called the company was told I had a lawsuit on me to pay the debt and that amount is not right!,"XXXX 2021, amount of XXXX to collect is Not accurate on my credit report. 
*I had called the company was told I had a lawsuit on me to pay the debt and that amount is not right! 
* So the rep told me to email for correspondence an I have gotten no reply back",258
3242075,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Web,TX,Yes,N/A,financial_harm,past due,XXXX and Transunion are reporting incorrectly that I am 60 120 days past due on the SECURITY partial account numbers XXXX.,XXXX and Transunion are reporting incorrectly that I am 60 120 days past due on the SECURITY partial account numbers XXXX. This account reports a {$0.00} balance and {$0.00} past due. ( Please see pages 14 17 of the attached credit report. ) This incorrect reporting is harming my credit score. Please keep in mind that it is impossible to be late on accounts where nothing is owed and nothing is past due.,406
3401796,Debt collection,Mortgage debt,Communication tactics,"You told them to stop contacting you, but they keep trying","SELECT PORTFOLIO SERVICING, INC.",Web,VA,Yes,N/A,financial_harm,debt,"SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX.","SPS Select Portfolio Servicing of XXXX XXXX XXXX, UT appears to be a debt collection agency, who started a systematic harassment by mail debt collection campaign against wife, XXXX XXXX. 

This harassment following a failed foreclosure attempt over the past 2 years ( XXXX-XXXX ) by XXXX XXXX XXXX and their attorneys ( XXXX ) over a 2nd Mortgage default loan by XXXX, approximately 10 Years ago. 

During XXXX-XXXX time period of XXXX/XXXX ( attempt to foreclose on our residence, XXXX XXXX XXXX, XXXX, VA XXXX, on legal advice & assistance of Mr. XXXX XXXX, Attorney, XXXX XXXX, VA, both myself, XXXX XXXX, and wife, XXXX, entered Chapter XXXX Trustee Protection, twice, that prevented the foreclosure attempt by XXXX/XXXX legal agent.",737
3358661,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"MARINER FINANCE, LLC",Web,MS,Yes,N/A,financial_harm,debt,"It appears that sometime between the merger and the final discharge of the debt, the account was transferred from XXXX XXXX XXXX to Mariner Finance, resulting in a new account number.","On XX/XX/XXXX, I received a personal loan from the XXXX XXXX, XXXX branch of XXXX XXXX XXXX. On XX/XX/XXXX, my wife and I filed Chapter XXXX Bankruptcy which included that loan. The bankruptcy was completed on XX/XX/XXXX, and the loan is being properly listed on my credit report as Chapter XXXX Bankruptcy. 

However there is another loan listed on my credit report under Mariner Finance. It was also reportedly issued on XX/XX/XXXX, with a last payment made date of XX/XX/XXXX, the exact dates reported by XXXX XXXX XXXX. This loan is being reported as Unpaid Balance Charged Off. I have never applied for or received a loan from Mariner Finance, and certainly did not apply for or receive two entirely different loans on XX/XX/XXXX, as is currently claimed on my credit report. 

In XX/XX/XXXX, XXXX XXXX XXXX merged with Mariner Finance , LLC and on XX/XX/XXXX, the company became known as Marine",2342
3063440,"Payday loan, title loan, or personal loan",Payday loan,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Ad Astra Recovery Services Inc,Web,TX,Yes,N/A,financial_harm,Debt,"I have attached the XXXX  report showing they are telling XXXX to keep this false information on my credit report illegally, according to the "" Fair Debt Collections Practices Act ''.","On XX/XX/18, I filed a complaint with Consumer Finance Protection Bureau ; XXXX ( complaint number ), regarding "" Ad Astra Recovery Service '', falsifying information on my credit report that they never "" Validated '' as belonging to me. In their response to the Consumer Finance Protection Bureau, on XX/XX/18 ; Ad Astra Recovery Service, stated they requested to the bureaus to delete from my credit report. They  never deleted this account from my XXXX credit report. This continue to be a "" Fraudulent '' company. I have attached the XXXX  report showing they are telling XXXX to keep this false information on my credit report illegally, according to the "" Fair Debt Collections Practices Act ''. I am requesting to have this information forwarded to "" the Attorney General 's Office, and to forward to Federal Trade Commission immediately.",845
3424418,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,Web,GA,Yes,N/A,financial_harm,debt,I have contacted this bureau multiple times requesting an investigation to verify the debt and ask who opened and signed for these accounts.,"I have contacted this bureau multiple times requesting an investigation to verify the debt and ask who opened and signed for these accounts. I also ask them to remove these fraudulent accounts reporting in my consumer file that do not belong to me. They have not mailed me any results and have yet to contact me regarding this matter. They are not cooperating with me at all. The accounts listed below were opened in result of identity theft. It is hindering me from obtaining credit and I need this removed asap. The accounts are listed here below. XXXX   XXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( XXXX, XXXX ) XXXX/XXXX : XXXX XXXX/XXXX : XXXX XXXX XXXX/XXXX : XXXX XXXX/XXXX XXXX XXXX XXXX XXXX XXXX : XXXX XXXX XXXX/XXXX XXXX : XXXX XXXX : XXXX Dept of ED : XXXX ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ), ( XXXX ) Bankruptcy XXXX XXXX XXXX : XXXX XXXX  : XXXX XXXX/XXXX XXXX Dept of Ed ",1004
3402897,Debt collection,Other debt,Communication tactics,"You told them to stop contacting you, but they keep trying","Diversified Adjustment Service, Inc.",Web,NY,Yes,N/A,financial_harm,debt,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over.,I have already had to file a complaint against diversified adjustment service with the BBB because they were threatening my credit report and refused to allow me to dispute a debt they keep calling me over. I advised them I am disputing the debt and they will not allow me to do so. Now they constantly call my phone to harass me. I have told them 4xs now to stop calling my phone and they will not. This is harassment and I want it to stop. I just called XXXX XXXX today and advised XXXX the third party they sent information to is harassing me and I want it to stop as I have been making monthly payments to XXXX XXXX for a past due balance. XXXX XXXX  gets $ XXXX as we originally agreed to before they placed my account in collections and I am now being harassed and it is against the FDCPA to continue to call and harass a consumer after they are told to stop and after I advised them I am dispu,1163
3739321,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,TCF NATIONAL BANK,Web,MN,Yes,N/A,financial_harm,debt,Each time I call the new servicer they humiliate me reminding me I am late and this is an attempt to collect a debt.,"This complaint is for TCF, Identical complaint filed for XXXX XXXX XXXX There are two lenders involved in my complaint. I had a HELOC loan with TCF bank that sold my loan to XXXX XXXX  XXXX  back in XXXX of this year. This loan was actually converted to a long term loan many months earlier and we no longer have the ability to draw on that loan according to our agreement. Before even making our first payment with our new loan servicer they reached out to us looking for the first payment in XXXX. I explained XXXX 's payment was made with the first loan servicer and we have sent them proof of that payment. Each month we pay the same amount to them as we did our previous loan despite requests for different payment amounts each month, asking for mostly smaller amounts. We have made several attempts to provide XXXX  with documentation that this payment was made and that we were current as of t",1558
2567028,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,Phoenix Financial Services LLC,Web,TN,Yes,N/A,financial_harm,Past Due,Account Details Original Lender MEDICAL Account Number XXXX Account Type Not Reported Responsibility Individual Credit Limit Not Reported Highest Balance {$150.00} Payment Details Amount Past Due Not Reported Date of Last Payment Not Reported Monthly Payment Not Provided Payment Frequency Not Reported Lender Info XXXX XXXX XXXX XXXX XXXX XXXX XXXX IN XXXX ( XXXX ) XXXX,Account Details Original Lender MEDICAL Account Number XXXX Account Type Not Reported Responsibility Individual Credit Limit Not Reported Highest Balance {$150.00} Payment Details Amount Past Due Not Reported Date of Last Payment Not Reported Monthly Payment Not Provided Payment Frequency Not Reported Lender Info XXXX XXXX XXXX XXXX XXXX XXXX XXXX IN XXXX ( XXXX ) XXXX,371
3235193,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,AMERICAN EXPRESS COMPANY,Web,OK,Yes,N/A,financial_harm,debt,I requested a debt validation notice from XXXX XXXX in XXXX of XXXX.,I closed my XXXX XXXX account in XXXX of XXXX. I received my federal income taxes around XX/XX/XXXX to my prepaid American Express. I was charged {XXXX} on XX/XX/XXXX to my prepaid American Express. I have disputed the charge three times to American Express has denied my dispute even though I did not authorize this charge. I requested a debt validation notice from XXXX XXXX in XXXX of XXXX. I did not receive any validation information as XXXX XXXX was collecting on behalf of XXXX. I spoke with a supervisor named XXXX whom advised that XXXX sent a letter advising i could dispute the charge and XXXX would not attempt to recollect but would not give a direct company refund for the charge. I requested a copy of the letter per my FDCPA and consumer rights and was advised XXXX could not resend the letter. American Express has no right to pay a charge I am disputing from my prepaid American Exp,1059
3192968,Debt collection,Medical debt,Written notification about debt,Didn't receive enough information to verify debt,The Law Offices of Mitchell D. Bluhm & Associates,Web,FL,Yes,N/A,financial_harm,Debt,Per report- a Debt collection account opened on XXXX with a balance amount of {$170.00} which I didn't aware of that.,"My FICO score drop to XXXX from XXXX suddenly on XXXX and when I search for "" WHY '' i got notify from the bank to go for a credit report at XXXX which I did got the report. Per report- a Debt collection account opened on XXXX with a balance amount of {$170.00} which I didn't aware of that. I contacted with them and got replied- they sentmailed me and also call my cell-phone number but none of the calls or even letter I didn't received from them not even any debt related noticed. I moved from my old address to the new address on XXXX. I did the address change at USPS at the same time when I already moved and I received all my mailed that delivered to the old address and still continuing receiving but again- I didn't received any mail or noticed related with Debt collection. However, when I verified my address with the collection department they have my current address. 

NOTE : I didn't ",1256
8027980,Debt collection,I do not know,Electronic communications,"You told them to stop contacting you, but they keep trying",Imperial Finance Corp,Web,IN,Yes,N/A,financial_harm,debt,XXXX XXXX from Imperial Finance Corp has been attempting to contact me and my wife for a made-up debt of over {$55000.00}.,"XXXX XXXX from Imperial Finance Corp has been attempting to contact me and my wife for a made-up debt of over {$55000.00}. I have been called, texted, and emailed repeatedly. 
XXXX of the emails had several other unknown personal email addresses copied. They are spamming random people over this. 

The website ( IMPERIALFINANCECORP.COM ) appears to have only existed since XX/XX/2023. The website is highly suspicious and contains very little information, and only XXXX way to contact "" them '' by email at XXXX There also appears to be no legal business registration or location. 

They are using many invasive tactics, calling and texting outside of normal business hours, repeatedly calling and have not stopped when asked to do so. 

The fact they are also calling my wife attempting to "" look for me '' is also concerning.",828
8131360,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"CAINE & WEINER COMPANY, INC.",Web,TX,Yes,N/A,financial_harm,debt,"Also, I formally requested a copy of the correspondence that was supposedly mailed to me during that time informing me of this debt with your company, the forward flow agreement, the contract bearing my signature, and your license to collect debt in the state of TX.","This is regarding complaint XXXX. The original creditor was contacted and could not furnish information being alleged by the collection agency Caine & Weiner. Furthermore, I received no communication by mail leading up to the reporting of this collection account. This account was added to my records in XX/XX/XXXX. Also, I formally requested a copy of the correspondence that was supposedly mailed to me during that time informing me of this debt with your company, the forward flow agreement, the contract bearing my signature, and your license to collect debt in the state of TX. I submitted the aforementioned account in XX/XX/XXXX. It is now XX/XX/XXXX and you have failed to provide any of the requested information to support your claim. Failure to provide this documentation constitutes yet another violation under the FDCPA, which entitles me to seek {$1000.00} per violation. It is also imp",1212
3603470,Debt collection,Credit card debt,Written notification about debt,Didn't receive notice of right to dispute,"Crown Asset Management, LLC, Duluth, GA Branch",Web,MI,Yes,N/A,financial_harm,Debt,"They also violated The Fair Debt Collection Act MCL 600.2145 They never notified me about the debt, not even once per mail or phone call.","I am being sued by XXXX XXXX XXXX. 
I have called them many times since XX/XX/2020 to reach a payment agreement. They are suing for an amount that I don't remember owing. I am trying to come to an agreement for a smaller amount, but they refuse each time and say that they will see me in court to get paid. 
They also violated The Fair Debt Collection Act MCL 600.2145 They never notified me about the debt, not even once per mail or phone call. 
They just serve me the summons for a law suit against me and also fail to show proof of such a debt.",547
3599328,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,AFNI INC.,Web,FL,Yes,N/A,financial_harm,Debt,"In regards to the Fair Debt Collection Practices Act ( FDCPA ), I am notifying you that I am disputing this debt in entirety, and you are to provide me with validation of the debt by providing me ALL of the following information : Copy of original contractual agreement bearing my signature between me and this company AFNI A clause in the original signed contract that authorizes you to collect on this debt.","To whom it may concern, On a recent review of my credit report, I discovered your company reporting the collection account on my credit reports. In regards to the Fair Debt Collection Practices Act ( FDCPA ), I am notifying you that I am disputing this debt in entirety, and you are to provide me with validation of the debt by providing me ALL of the following information : Copy of original contractual agreement bearing my signature between me and this company AFNI A clause in the original signed contract that authorizes you to collect on this debt. 

ALL Statements from the original creditor and itemization of monies owed Copy of bill showing last default date Proof that the debt is valid and collectible and within the statute of limitations for this state Proof that you are licensed to collect in my state of residence Agreement between your company and the original creditor that authori",1179
3649936,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,Awar Holding Inc.,Web,NJ,No,N/A,financial_harm,debt,In XXXX of 2014 I received a notice the debt was not paid however the amount of the debt was incorrect.,In 2014 I was injured in two car accidents one in XX/XX/XXXX of 2014 and the other XX/XX/2014. In XXXX of 2014 I received a notice the debt was not paid however the amount of the debt was incorrect. I advised the representative the debt was paid under my policy with XXXX XXXX under my claim number. I was advised the debt was not paid. I continued to receive harassing calls every week to collect the debt. I advised the representative the debt would be paid from my settlement. I contacted a representative who advised the debt was not paid. I made a final attempt to settle the debt and I was advised I would need to make a payment in full. I advised after Covid 19 I would be unable to pay the full amount the representative stated there is nothing they can do about it.,774
